Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,273900334,3514.002383523998,4210729,54.021517704223136,504603,5351812,68.66103392255205,45158,0.5793542392510439,5490,
United States of America,Americas,50415400,15231.117,827506,250,156633,799326,241.486,8343,2.521,2030
India,South-East Asia,34746838,2517.879,48978,3.549,6563,477554,34.605,1918,0.139,132
Brazil,Americas,22204941,10446.463,16762,7.886,0,617395,290.458,651,0.306,0
The United Kingdom,Europe,11361391,16735.984,541872,798.209,81959,147218,216.861,779,1.148,45
Russian Federation,Europe,10241812,7018.09,195358,133.867,27022,298222,204.353,7618,5.22,1019
Turkey,Europe,9171119,10874.105,130940,155.254,16910,80415,95.347,1264,1.499,171
France,Europe,8382498,12888.347,362800,557.816,48473,118946,182.883,1030,1.584,75
Germany,Europe,6809622,8187.918,278016,334.288,16086,108352,130.283,2598,3.124,119
Iran (Islamic Republic of),Eastern Mediterranean,6170979,7347.02,16166,19.247,1968,131083,156.064,361,0.43,50
Spain,Europe,5422169,11455.461,78783,166.445,0,88667,187.327,98,0.207,0
Italy,Europe,5389155,9035.916,163638,274.369,24303,135641,227.427,810,1.358,97
Argentina,Americas,5386453,11918.046,29568,65.422,0,116899,258.65,139,0.308,0
Colombia,Americas,5105285,10033.402,13777,27.076,2016,129399,254.307,343,0.674,54
Indonesia,South-East Asia,4260677,1557.7,1428,0.522,133,144013,52.651,65,0.024,11
Poland,Europe,3968450,10454.807,128825,339.387,9610,91514,241.092,3006,7.919,29
Mexico,Americas,3932545,3050.074,13779,10.687,2530,297835,231,1127,0.874,267
Ukraine,Europe,3610687,8256.064,47522,108.662,2536,93262,213.249,2047,4.681,157
South Africa,Africa,3308074,5577.722,140577,237.026,15465,90348,152.335,211,0.356,3
Netherlands,Europe,2980003,17118.992,99949,574.169,13331,20468,117.581,357,2.051,48
Philippines,Western Pacific,2837555,2589.457,1112,1.015,181,50675,46.244,395,0.36,0
Malaysia,Western Pacific,2715847,8391.05,24208,74.795,0,31073,96.005,194,0.599,0
Czechia,Europe,2406989,22507.974,68379,639.418,3740,35288,329.981,591,5.526,22
Peru,Americas,2263739,6865.671,10893,33.037,1856,202154,613.111,421,1.277,34
Thailand,South-East Asia,2194053,3143.343,22009,31.532,2525,21408,30.67,214,0.307,31
Iraq,Eastern Mediterranean,2090480,5197.291,2643,6.571,272,24063,59.825,85,0.211,12
Belgium,Europe,1999764,17355.387,38347,332.803,0,27895,242.093,154,1.337,0
Canada,Americas,1866907,4946.477,34416,91.187,0,30032,79.572,118,0.313,0
Romania,Europe,1798205,9303.224,5056,26.158,499,58196,301.084,500,2.587,53
Chile,Americas,1791776,9373.076,8972,46.934,1252,38864,203.304,178,0.931,24
Japan,Western Pacific,1729777,1367.667,957,0.757,0,18379,14.532,6,0.005,0
Bangladesh,South-East Asia,1581343,960.197,1633,0.992,260,28050,17.032,19,0.012,2
Viet Nam,Western Pacific,1524368,1566.047,111317,114.361,0,29351,30.154,1512,1.553,0
Israel,Europe,1355799,15663.943,5392,62.295,1004,8232,95.107,6,0.069,0
Pakistan,Eastern Mediterranean,1291108,584.497,2059,0.932,260,28872,13.071,42,0.019,2
Serbia,Europe,1282461,18514.734,8414,121.472,802,12401,179.032,223,3.219,37
Sweden,Europe,1250885,12112.072,16399,158.788,0,15231,147.479,7,0.068,0
Austria,Europe,1245943,13997.686,20631,231.781,2012,13068,146.814,172,1.932,8
Hungary,Europe,1228400,12573.793,29461,301.56,10105,37896,387.9,1012,10.359,366
Portugal,Europe,1225102,11898.92,30814,299.284,4266,18778,182.383,120,1.166,25
Switzerland,Europe,1170018,13519.002,37381,431.92,0,11528,133.201,81,0.936,0
Kazakhstan,Europe,1066934,5682.221,3524,18.768,387,18119,96.497,70,0.373,3
Jordan,Eastern Mediterranean,1036665,10160.261,26632,261.018,3196,12230,119.865,248,2.431,39
Greece,Europe,1034070,9647.467,31193,291.018,2831,19891,185.575,643,5.999,92
Cuba,Americas,964097,8511.783,469,4.141,62,8314,73.402,1,0.009,0
Morocco,Eastern Mediterranean,952814,2581.413,1332,3.609,186,14809,40.121,13,0.035,1
Georgia,Europe,910456,22823.165,19643,492.408,1296,13116,328.79,339,8.498,45
Nepal,South-East Asia,825954,2834.744,1419,4.87,218,11574,39.723,17,0.058,1
Slovakia,Europe,807339,14792.191,30112,551.717,1224,16068,294.4,653,11.964,54
United Arab Emirates,Eastern Mediterranean,744137,7523.83,1335,13.498,285,2151,21.748,0,0,0
Bulgaria,Europe,724793,10426.453,10105,145.365,456,30082,432.742,546,7.854,35
Tunisia,Eastern Mediterranean,721031,6100.806,1445,12.226,178,25470,215.507,38,0.322,10
Lebanon,Eastern Mediterranean,700943,10269.558,10889,159.535,1479,8936,130.922,88,1.289,12
Belarus,Europe,684628,7245.261,9905,104.822,1456,5385,56.988,109,1.154,14
Croatia,Europe,675363,16642.078,21161,521.443,1936,11981,295.232,362,8.92,51
Ireland,Europe,656600,13226.064,32977,664.264,5124,5835,117.536,47,0.947,0
Guatemala,Americas,623662,3481.118,1433,7.999,0,16067,89.682,23,0.128,0
Denmark,Europe,617274,10601.05,62885,1079.986,8212,3076,52.827,62,1.065,9
Azerbaijan,Europe,610318,6019.405,5838,57.579,921,8199,80.865,111,1.095,17
Sri Lanka,South-East Asia,579685,2707.132,6036,28.188,0,14752,68.892,111,0.518,0
Costa Rica,Americas,568538,11160.676,469,9.207,0,7340,144.088,7,0.137,0
Republic of Korea,Western Pacific,565098,1102.218,42013,81.946,2,4722,9.21,429,0.837,0
Bolivia (Plurinational State of),Americas,562638,4819.986,10052,86.113,0,19408,166.264,103,0.882,0
Saudi Arabia,Eastern Mediterranean,550842,1582.249,602,1.729,104,8862,25.455,9,0.026,1
Ecuador,Americas,536129,3038.754,2939,16.658,0,33593,190.404,35,0.198,0
Myanmar,South-East Asia,528253,970.878,1342,2.466,0,19220,35.325,32,0.059,0
Lithuania,Europe,502969,18001.174,11016,394.261,624,7143,255.647,154,5.512,24
Panama,Americas,482677,11186.63,2104,48.763,0,7398,171.458,12,0.278,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,466669,9147.836,2328,45.634,342,4870,95.464,26,0.51,3
Paraguay,Americas,464582,6513.558,875,12.268,56,16570,232.316,68,0.953,2
Slovenia,Europe,448562,21402.278,8600,410.333,767,5937,283.273,42,2.004,1
Venezuela (Bolivarian Republic of),Americas,441228,1551.656,3341,11.749,444,5278,18.561,44,0.155,6
Kuwait,Eastern Mediterranean,414098,9696.549,387,9.062,75,2466,57.744,0,0,0
Dominican Republic,Americas,411449,3792.887,1184,10.915,183,4222,38.92,3,0.028,0
Uruguay,Americas,404255,11637.491,1872,53.89,356,6153,177.129,11,0.317,3
Mongolia,Western Pacific,386870,11800.969,1544,47.098,0,1970,60.092,7,0.214,0
Libya,Eastern Mediterranean,381749,5555.709,3644,53.032,726,5598,81.469,45,0.655,9
Honduras,Americas,378804,3824.523,243,2.453,0,10428,105.284,7,0.071,0
Ethiopia,Africa,376375,327.386,3260,2.836,565,6866,5.972,37,0.032,5
Egypt,Eastern Mediterranean,375330,366.768,6132,5.992,919,21361,20.874,301,0.294,46
Republic of Moldova,Europe,372200,9226.659,2541,62.99,46,9493,235.327,125,3.099,11
Armenia,Europe,343708,11599.084,1104,37.257,72,7903,266.702,84,2.835,4
Norway,Europe,339006,6315.807,18573,346.022,0,1204,22.431,24,0.447,0
Oman,Eastern Mediterranean,304843,5969.558,129,2.526,14,4113,80.542,0,0,0
Bosnia and Herzegovina,Europe,284768,8679.795,3140,95.708,0,13135,400.358,190,5.791,0
Bahrain,Eastern Mediterranean,278499,16367.13,434,25.506,89,1394,81.924,0,0,0
Singapore,Western Pacific,275655,4711.776,2293,39.194,0,810,13.845,16,0.273,0
Latvia,Europe,267139,14003.381,5195,272.321,423,4444,232.954,69,3.617,6
Kenya,Africa,263707,490.423,7372,13.71,1372,5353,9.955,5,0.009,0
Australia,Western Pacific,246797,967.836,17899,70.192,23,2142,8.4,38,0.149,0
Qatar,Eastern Mediterranean,246537,8557.184,1183,41.061,170,614,21.312,1,0.035,0
Estonia,Europe,232506,17495.124,3910,294.211,386,1888,142.064,23,1.731,4
Nigeria,Africa,223887,108.609,6406,3.108,404,2985,1.448,4,0.002,1
North Macedonia,Europe,221285,10621.442,1877,90.094,190,7815,375.112,69,3.312,14
Finland,Europe,219250,3968.116,12437,225.092,905,1493,27.021,2,0.036,0
Zambia,Africa,216508,1177.701,5431,29.542,1036,3679,20.012,9,0.049,1
Algeria,Africa,214592,489.366,1744,3.977,262,6184,14.102,39,0.089,4
Albania,Europe,205777,7150.497,1990,69.15,228,3166,110.015,32,1.112,5
Botswana,Africa,199864,8498.967,3774,160.485,0,2425,103.12,4,0.17,0
Uzbekistan,Europe,197268,589.402,1310,3.914,194,1461,4.365,21,0.063,3
Puerto Rico,Americas,195867,6846.455,6349,221.927,2747,3285,114.826,9,0.315,1
Zimbabwe,Africa,192796,1297.161,25656,172.617,1123,4787,32.208,49,0.33,5
Kyrgyzstan,Europe,184218,2823.614,227,3.479,23,2784,42.672,14,0.215,1
Kosovo[1],Europe,161219,8978.229,62,3.453,4,2979,165.899,2,0.111,0
Montenegro,Europe,160993,25633.297,1153,183.581,177,2373,377.829,24,3.821,1
Mozambique,Africa,158111,505.867,4437,14.196,0,1948,6.233,4,0.013,0
Afghanistan,Eastern Mediterranean,157787,405.327,154,0.396,42,7335,18.842,7,0.018,2
Cyprus,Europe,145161,16346.867,4310,485.358,448,620,69.819,10,1.126,1
Namibia,Africa,134694,5301.025,3464,136.329,540,3580,140.895,5,0.197,1
Ghana,Africa,131911,424.52,665,2.14,0,1255,4.039,27,0.087,0
China,Western Pacific,129678,8.814,596,0.041,0,5698,0.387,1,0,0
Uganda,Africa,129130,282.307,1030,2.252,0,3272,7.153,3,0.007,0
El Salvador,Americas,121484,1872.96,1681,25.917,0,3807,58.694,12,0.185,2
Cambodia,Western Pacific,120410,720.2,55,0.329,0,3003,17.962,18,0.108,0
Cameroon,Africa,107662,405.57,113,0.426,0,1836,6.916,13,0.049,0
